team,points,speaks,ones,twos
Princeton 2,32,1294,5,3
Chicago 1,31,1295,4,3
Vanderbilt 1,29,1287,4,1
Penn 1,28,1301,5,0
Bates 2,27,1281,4,1
Northeastern 1,27,1278,5,0
Princeton 1,27,1268,3,4
Chicago 2,27,1266,4,1
Duke 1,26,1295,2,4
Hopkins 3,26,1279,4,2
Stanford 1,26,1276,4,1
Hopkins 1,26,1275,2,5
Tufts 1,25,1272,3,2
Northeastern 2,25,1259,4,3
Regis 2,25,1243,5,0
William & Mary 1,24,1269,4,1
NYU 1,24,1266,3,2
Bard 1,24,1264,4,1
Claremont 1,24,1259,3,1
USAFA 1,24,1256,3,3
Tufts 2,24,1254,3,3
Williams 1,24,1251,2,4
HWS 1,24,1248,3,3
Penn 3,24,1228,2,3
Cornell 4,23,1251,4,0
Hopkins 2,23,1249,4,1
GWU 1,23,1247,2,3
Bates 1,23,1239,2,3
HWS 5,23,1238,2,4
Cornell 3,22,1267,3,2
Cornell 1,22,1257,3,1
UCLA 4,22,1249,2,4
